,City,County,State
155,Perryville,Lake And Peninsula County,AK
156,Petersburg,Wrangell Petersburg County,AK
157,Pilot Point,Lake And Peninsula County,AK
158,Pilot Station,Wade Hampton County,AK
159,Platinum,Bethel County,AK
160,Point Baker,Prince Wales Ketchikan County,AK
161,Point Hope,North Slope County,AK
162,Point Lay,North Slope County,AK
163,Port Alexander,Wrangell Petersburg County,AK
164,Port Alsworth,Lake And Peninsula County,AK
165,Port Heiden,Lake And Peninsula County,AK
166,Port Lions,Kodiak Island County,AK
167,Prudhoe Bay,North Slope County,AK
168,Quinhagak,Bethel County,AK
169,Rampart,Yukon Koyukuk County,AK
170,Red Devil,Bethel County,AK
171,Ruby,Yukon Koyukuk County,AK
172,Russian Mission,Wade Hampton County,AK
173,Saint George Island,Aleutians West County,AK
174,Saint Marys,Wade Hampton County,AK
175,Saint Michael,Nome County,AK
176,Saint Paul Island,Aleutians West County,AK
177,Salcha,Fairbanks North Star County,AK
178,Sand Point,Aleutians East County,AK
179,Savoonga,Nome County,AK
180,Scammon Bay,Wade Hampton County,AK
181,Selawik,Northwest Arctic County,AK
182,Seldovia,Kenai Peninsula County,AK
183,Seward,Kenai Peninsula County,AK
184,Shageluk,Yukon Koyukuk County,AK
185,Shaktoolik,Nome County,AK
186,Shishmaref,Nome County,AK
187,Shungnak,Northwest Arctic County,AK
188,Sitka,Sitka County,AK
189,Skagway,Skagway Hoonah Angoon County,AK
190,Skwentna,Matanuska Susitna County,AK
191,Sleetmute,Bethel County,AK
192,Soldotna,Kenai Peninsula County,AK
193,South Naknek,Bristol Bay County,AK
194,Stebbins,Nome County,AK
195,Sterling,Kenai Peninsula County,AK
196,Stevens Village,Yukon Koyukuk County,AK
197,Sutton,Matanuska Susitna County,AK
198,Takotna,Yukon Koyukuk County,AK
199,Talkeetna,Matanuska Susitna County,AK
200,Tanacross,Southeast Fairbanks County,AK
201,Tanana,Yukon Koyukuk County,AK
202,Tatitlek,Valdez Cordova County,AK
203,Teller,Nome County,AK
204,Tenakee Springs,Skagway Hoonah Angoon County,AK
205,Tetlin,Southeast Fairbanks County,AK
206,Thorne Bay,Prince Wales Ketchikan County,AK
207,Togiak,Dillingham County,AK
208,Tok,Southeast Fairbanks County,AK
209,Toksook Bay,Bethel County,AK
210,Trapper Creek,Matanuska Susitna County,AK
211,Tuluksak,Bethel County,AK
212,Tuntutuliak,Bethel County,AK
213,Tununak,Bethel County,AK
214,Two Rivers,Fairbanks North Star County,AK
215,Tyonek,Kenai Peninsula County,AK
216,Unalakleet,Nome County,AK
217,Unalaska,Aleutians West County,AK
218,Valdez,Valdez Cordova County,AK
219,Venetie,Yukon Koyukuk County,AK
220,Wainwright,North Slope County,AK
221,Wales,Nome County,AK
222,Ward Cove,Ketchikan Gateway County,AK
223,Wasilla,Matanuska Susitna County,AK
224,White Mountain,Nome County,AK
225,Whittier,Valdez Cordova County,AK
226,Willow,Matanuska Susitna County,AK
227,Wrangell,Wrangell Petersburg County,AK
228,Yakutat,Yakutat County,AK
229,Abbeville,Henry County,AL
230,Abernant,Tuscaloosa County,AL
231,Adamsville,Jefferson County,AL
232,Addison,Winston County,AL
233,Adger,Jefferson County,AL
234,Akron,Hale County,AL
235,Alabaster,Shelby County,AL
236,Alberta,Wilcox County,AL
237,Albertville,Marshall County,AL
238,Alexander City,Tallapoosa County,AL
239,Alexandria,Calhoun County,AL
240,Aliceville,Pickens County,AL
241,Allgood,Blount County,AL
242,Alma,Clarke County,AL
243,Alpine,Talladega County,AL
244,Alton,Jefferson County,AL
245,Altoona,Etowah County,AL
246,Andalusia,Covington County,AL
247,Anderson,Lauderdale County,AL
248,Annemanie,Wilcox County,AL
249,Anniston,Calhoun County,AL
250,Arab,Marshall County,AL
251,Ardmore,Limestone County,AL
252,Ariton,Dale County,AL
253,Arley,Winston County,AL
254,Arlington,Wilcox County,AL
255,Ashford,Houston County,AL
256,Ashland,Clay County,AL
257,Ashville,Saint Clair County,AL
258,Athens,Limestone County,AL
259,Atmore,Escambia County,AL
260,Attalla,Etowah County,AL
261,Auburn,Lee County,AL
262,Auburn University,Lee County,AL
263,Autaugaville,Autauga County,AL
264,Axis,Mobile County,AL
265,Baileyton,Cullman County,AL
266,Banks,Pike County,AL
267,Bankston,Fayette County,AL
268,Bay Minette,Baldwin County,AL
269,Bayou La Batre,Mobile County,AL
270,Bear Creek,Marion County,AL
271,Beatrice,Monroe County,AL
272,Beaverton,Lamar County,AL
273,Belk,Fayette County,AL
274,Bellamy,Sumter County,AL
275,Belle Mina,Limestone County,AL
276,Bellwood,Geneva County,AL
277,Berry,Fayette County,AL
278,Bessemer,Jefferson County,AL
279,Billingsley,Autauga County,AL
280,Birmingham,Jefferson County,AL
282,Black,Geneva County,AL
283,Blountsville,Blount County,AL
284,Boaz,Marshall County,AL
285,Boligee,Greene County,AL
286,Bon Air,Talladega County,AL
287,Bon Secour,Baldwin County,AL
288,Booth,Autauga County,AL
289,Boykin,Wilcox County,AL
290,Brantley,Crenshaw County,AL
291,Bremen,Cullman County,AL
292,Brent,Bibb County,AL
293,Brewton,Escambia County,AL
294,Bridgeport,Jackson County,AL
295,Brierfield,Bibb County,AL
296,Brilliant,Marion County,AL
297,Brooklyn,Conecuh County,AL
298,Brookside,Jefferson County,AL
299,Brookwood,Tuscaloosa County,AL
300,Brownsboro,Madison County,AL
301,Brundidge,Pike County,AL
302,Bryant,Jackson County,AL
303,Bucks,Mobile County,AL
304,Buhl,Tuscaloosa County,AL
305,Burnt Corn,Monroe County,AL
306,Burnwell,Walker County,AL
307,Butler,Choctaw County,AL
308,Bynum,Calhoun County,AL
309,Calera,Shelby County,AL
310,Calvert,Washington County,AL
311,Camden,Wilcox County,AL
312,Camp Hill,Tallapoosa County,AL
313,Campbell,Clarke County,AL
314,Capshaw,Limestone County,AL
315,Carbon Hill,Walker County,AL
316,Cardiff,Jefferson County,AL
317,Carlton,Clarke County,AL
318,Carrollton,Pickens County,AL
319,Castleberry,Conecuh County,AL
320,Catherine,Wilcox County,AL
321,Cecil,Montgomery County,AL
322,Cedar Bluff,Cherokee County,AL
323,Centre,Cherokee County,AL
324,Centreville,Bibb County,AL
325,Chancellor,Geneva County,AL
326,Chapman,Butler County,AL
327,Chatom,Washington County,AL
328,Chelsea,Shelby County,AL
329,Cherokee,Colbert County,AL
330,Childersburg,Talladega County,AL
331,Choccolocco,Calhoun County,AL
332,Chunchula,Mobile County,AL
333,Citronelle,Mobile County,AL
334,Clanton,Chilton County,AL
335,Clay,Jefferson County,AL
336,Clayton,Barbour County,AL
337,Cleveland,Blount County,AL
338,Clinton,Greene County,AL
339,Clio,Barbour County,AL
340,Clopton,Dale County,AL
341,Cloverdale,Lauderdale County,AL
342,Coaling,Tuscaloosa County,AL
343,Coden,Mobile County,AL
344,Coffee Springs,Geneva County,AL
345,Coffeeville,Clarke County,AL
346,Coker,Tuscaloosa County,AL
347,Collinsville,De Kalb County,AL
348,Columbia,Houston County,AL
349,Columbiana,Shelby County,AL
350,Cook Springs,Saint Clair County,AL
351,Coosada,Elmore County,AL
352,Cordova,Walker County,AL
353,Cottondale,Tuscaloosa County,AL
354,Cottonton,Russell County,AL
355,Cottonwood,Houston County,AL
356,Courtland,Lawrence County,AL
357,Cowarts,Houston County,AL
358,Coy,Wilcox County,AL
359,Cragford,Clay County,AL
360,Crane Hill,Cullman County,AL
361,Creola,Mobile County,AL
362,Cromwell,Choctaw County,AL
363,Cropwell,Saint Clair County,AL
364,Crossville,De Kalb County,AL
365,Cuba,Sumter County,AL
366,Cullman,Cullman County,AL
367,Cusseta,Chambers County,AL
368,Dadeville,Tallapoosa County,AL
369,Daleville,Dale County,AL
370,Danville,Morgan County,AL
371,Daphne,Baldwin County,AL
372,Dauphin Island,Mobile County,AL
373,Daviston,Tallapoosa County,AL
374,Dawson,De Kalb County,AL
375,De Armanville,Calhoun County,AL
376,Deatsville,Elmore County,AL
377,Decatur,Morgan County,AL
378,Deer Park,Washington County,AL
379,Delmar,Winston County,AL
380,Delta,Clay County,AL
381,Demopolis,Marengo County,AL
382,Detroit,Lamar County,AL
383,Dickinson,Clarke County,AL
384,Dixons Mills,Marengo County,AL
385,Docena,Jefferson County,AL
386,Dolomite,Jefferson County,AL
387,Dora,Walker County,AL
388,Dothan,Houston County,AL
389,Double Springs,Winston County,AL
390,Douglas,Marshall County,AL
391,Dozier,Crenshaw County,AL
392,Duncanville,Tuscaloosa County,AL
393,Dutton,Jackson County,AL
394,East Tallassee,Tallapoosa County,AL
395,Eastaboga,Calhoun County,AL
396,Echola,Tuscaloosa County,AL
397,Eclectic,Elmore County,AL
398,Edwardsville,Cleburne County,AL
399,Eight Mile,Mobile County,AL
400,Elba,Coffee County,AL
401,Elberta,Baldwin County,AL
402,Eldridge,Walker County,AL
403,Elkmont,Limestone County,AL
404,Elmore,Elmore County,AL
405,Elrod,Tuscaloosa County,AL
406,Emelle,Sumter County,AL
407,Empire,Walker County,AL
408,Enterprise,Coffee County,AL
409,Epes,Sumter County,AL
410,Equality,Coosa County,AL
411,Estillfork,Jackson County,AL
412,Ethelsville,Pickens County,AL
413,Eufaula,Barbour County,AL
414,Eutaw,Greene County,AL
415,Eva,Morgan County,AL
416,Evergreen,Conecuh County,AL
417,Excel,Monroe County,AL
418,Fackler,Jackson County,AL
419,Fairfield,Jefferson County,AL
420,Fairhope,Baldwin County,AL
421,Falkville,Morgan County,AL
422,Faunsdale,Marengo County,AL
423,Fayette,Fayette County,AL
424,Fitzpatrick,Bullock County,AL
425,Five Points,Chambers County,AL
426,Flat Rock,Jackson County,AL
427,Flomaton,Escambia County,AL
428,Florala,Covington County,AL
429,Florence,Lauderdale County,AL
430,Foley,Baldwin County,AL
431,Forest Home,Butler County,AL
432,Forkland,Greene County,AL
433,Fort Davis,Macon County,AL
434,Fort Deposit,Lowndes County,AL
435,Fort Mitchell,Russell County,AL
436,Fort Payne,De Kalb County,AL
437,Fort Rucker,Dale County,AL
438,Fosters,Tuscaloosa County,AL
439,Franklin,Monroe County,AL
440,Frankville,Washington County,AL
441,Frisco City,Monroe County,AL
442,Fruitdale,Washington County,AL
443,Fruithurst,Cleburne County,AL
444,Fulton,Clarke County,AL
445,Fultondale,Jefferson County,AL
446,Furman,Wilcox County,AL
447,Fyffe,De Kalb County,AL
448,Gadsden,Etowah County,AL
449,Gainestown,Clarke County,AL
450,Gainesville,Sumter County,AL
451,Gallant,Etowah County,AL
452,Gallion,Hale County,AL
453,Gantt,Covington County,AL
454,Garden City,Cullman County,AL
455,Gardendale,Jefferson County,AL
456,Gaylesville,Cherokee County,AL
457,Geneva,Geneva County,AL
458,Georgiana,Butler County,AL
459,Geraldine,De Kalb County,AL
460,Gilbertown,Choctaw County,AL
461,Glen Allen,Fayette County,AL
462,Glenwood,Crenshaw County,AL
463,Goodsprings,Walker County,AL
464,Goodwater,Coosa County,AL
465,Goodway,Monroe County,AL
466,Gordo,Pickens County,AL
467,Gordon,Houston County,AL
468,Goshen,Pike County,AL
469,Grady,Montgomery County,AL
470,Graham,Randolph County,AL
471,Grand Bay,Mobile County,AL
472,Grant,Marshall County,AL
473,Graysville,Jefferson County,AL
474,Green Pond,Bibb County,AL
475,Greensboro,Hale County,AL
476,Greenville,Butler County,AL
477,Grove Hill,Clarke County,AL
478,Groveoak,De Kalb County,AL
479,Guin,Marion County,AL
480,Gulf Shores,Baldwin County,AL
481,Guntersville,Marshall County,AL
482,Gurley,Madison County,AL
483,Hackleburg,Marion County,AL
484,Haleyville,Winston County,AL
485,Hamilton,Marion County,AL
486,Hanceville,Cullman County,AL
487,Hardaway,Macon County,AL
488,Harpersville,Shelby County,AL
489,Hartford,Geneva County,AL
490,Hartselle,Morgan County,AL
491,Harvest,Madison County,AL
492,Hatchechubbee,Russell County,AL
493,Hayden,Blount County,AL
494,Hayneville,Lowndes County,AL
495,Hazel Green,Madison County,AL
496,Headland,Henry County,AL
497,Heflin,Cleburne County,AL
498,Helena,Shelby County,AL
499,Henagar,De Kalb County,AL
500,Higdon,Jackson County,AL
501,Highland Home,Crenshaw County,AL
502,Hillsboro,Lawrence County,AL
503,Hodges,Franklin County,AL
504,Hollins,Clay County,AL
505,Holly Pond,Cullman County,AL
506,Hollytree,Jackson County,AL
507,Hollywood,Jackson County,AL
508,Holy Trinity,Russell County,AL
509,Honoraville,Crenshaw County,AL
510,Hope Hull,Montgomery County,AL
511,Horton,Marshall County,AL
512,Houston,Winston County,AL
513,Huntsville,Madison County,AL
514,Hurtsboro,Russell County,AL
515,Huxford,Escambia County,AL
516,Ider,De Kalb County,AL
517,Irvington,Mobile County,AL
518,Jachin,Choctaw County,AL
519,Jack,Coffee County,AL
520,Jackson,Clarke County,AL
521,Jacksons Gap,Tallapoosa County,AL
522,Jacksonville,Calhoun County,AL
523,Jasper,Walker County,AL
524,Jefferson,Marengo County,AL
525,Jemison,Chilton County,AL
526,Jones,Autauga County,AL
527,Joppa,Cullman County,AL
528,Kansas,Walker County,AL
529,Kellerman,Tuscaloosa County,AL
530,Kellyton,Coosa County,AL
531,Kennedy,Lamar County,AL
532,Kent,Elmore County,AL
533,Killen,Lauderdale County,AL
534,Kimberly,Jefferson County,AL
535,Kinston,Coffee County,AL
536,Knoxville,Greene County,AL
537,Laceys Spring,Morgan County,AL
538,Lafayette,Chambers County,AL
539,Lanett,Chambers County,AL
540,Langston,Jackson County,AL
541,Lapine,Montgomery County,AL
542,Lawley,Bibb County,AL
543,Leeds,Jefferson County,AL
544,Leesburg,Cherokee County,AL
545,Leighton,Colbert County,AL
546,Lenox,Conecuh County,AL
547,Leroy,Washington County,AL
548,Lester,Limestone County,AL
549,Letohatchee,Lowndes County,AL
550,Lexington,Lauderdale County,AL
551,Lillian,Baldwin County,AL
552,Lincoln,Talladega County,AL
553,Linden,Marengo County,AL
554,Lineville,Clay County,AL
555,Lisman,Choctaw County,AL
556,Little River,Baldwin County,AL
557,Livingston,Sumter County,AL
558,Loachapoka,Lee County,AL
559,Lockhart,Covington County,AL
560,Locust Fork,Blount County,AL
561,Logan,Cullman County,AL
562,Louisville,Barbour County,AL
563,Lower Peach Tree,Wilcox County,AL
564,Lowndesboro,Lowndes County,AL
565,Loxley,Baldwin County,AL
566,Luverne,Crenshaw County,AL
567,Lynn,Winston County,AL
568,Madison,Madison County,AL
569,Magnolia,Marengo County,AL
570,Magnolia Springs,Baldwin County,AL
571,Malcolm,Washington County,AL
572,Malvern,Geneva County,AL
573,Maplesville,Chilton County,AL
574,Marbury,Autauga County,AL
575,Margaret,Saint Clair County,AL
576,Marion,Perry County,AL
577,Marion Junction,Dallas County,AL
578,Mathews,Montgomery County,AL
579,Maylene,Shelby County,AL
580,Mc Calla,Jefferson County,AL
581,Mc Intosh,Washington County,AL
582,Mc Kenzie,Butler County,AL
583,Mc Shan,Pickens County,AL
584,Mc Williams,Wilcox County,AL
585,Megargel,Monroe County,AL
586,Melvin,Choctaw County,AL
587,Mentone,De Kalb County,AL
588,Meridianville,Madison County,AL
589,Mexia,Monroe County,AL
590,Midland City,Dale County,AL
591,Midway,Bullock County,AL
592,Millbrook,Elmore County,AL
593,Millerville,Clay County,AL
594,Millport,Lamar County,AL
595,Millry,Washington County,AL
596,Minter,Dallas County,AL
597,Mobile,Mobile County,AL
598,Monroeville,Monroe County,AL
599,Montevallo,Shelby County,AL
600,Montgomery,Montgomery County,AL
601,Montrose,Baldwin County,AL
