County,Year,ST,AGEP,FER,GCL,HINS1,JWMNP,JWRIP,JWTR,LANX,MAR,SCH,SCHG,SCHL,WAGP,WKHP,DIS,ESR,OC
Contra Costa County,2013,6,31,,2.0,1,,,,2.0,5,1.0,,19.0,13900.0,32.0,2,3.0,0
Contra Costa County,2014,6,59,,2.0,1,10.0,1.0,1.0,1.0,1,1.0,,20.0,60000.0,40.0,2,1.0,0
Contra Costa County,2014,6,20,2.0,,2,,,,1.0,5,2.0,15.0,20.0,0.0,,2,6.0,0
Contra Costa County,2015,6,35,,2.0,1,55.0,1.0,1.0,2.0,5,1.0,,19.0,90000.0,70.0,2,1.0,0
Contra Costa County,2016,6,34,,2.0,2,8.0,1.0,1.0,2.0,1,1.0,,14.0,50000.0,40.0,1,1.0,0
Contra Costa County,2014,6,19,,,2,,,,2.0,5,2.0,14.0,15.0,0.0,,2,6.0,0
Contra Costa County,2012,6,28,2.0,,2,,,,2.0,5,1.0,,21.0,5000.0,40.0,2,3.0,0
Contra Costa County,2014,6,16,2.0,,1,,,,2.0,5,2.0,12.0,13.0,0.0,,2,6.0,0
Contra Costa County,2015,6,31,1.0,2.0,1,30.0,1.0,1.0,2.0,5,1.0,,21.0,50000.0,40.0,2,1.0,0
Contra Costa County,2014,6,71,,2.0,2,,,,2.0,3,1.0,,14.0,0.0,,2,6.0,0
Contra Costa County,2014,6,70,,2.0,1,,,,2.0,1,1.0,,20.0,0.0,,2,6.0,0
Contra Costa County,2012,6,64,,2.0,1,,,11.0,2.0,3,1.0,,21.0,125000.0,40.0,2,1.0,0
Contra Costa County,2013,6,65,,2.0,1,15.0,1.0,1.0,2.0,5,1.0,,19.0,43000.0,40.0,2,1.0,0
Contra Costa County,2016,6,6,,,1,,,,2.0,5,2.0,3.0,3.0,,,2,,1
Contra Costa County,2012,6,51,,2.0,2,,,,2.0,5,1.0,,19.0,0.0,,2,6.0,0
Contra Costa County,2015,6,51,,2.0,1,,,11.0,2.0,1,1.0,,16.0,26000.0,25.0,2,1.0,0
Contra Costa County,2014,6,30,2.0,2.0,1,45.0,3.0,1.0,2.0,1,1.0,,22.0,60000.0,40.0,2,1.0,0
Contra Costa County,2012,6,6,,,2,,,,2.0,5,2.0,3.0,3.0,,,2,,1
Contra Costa County,2014,6,45,2.0,2.0,1,30.0,1.0,1.0,1.0,1,1.0,,21.0,0.0,40.0,2,1.0,0
Contra Costa County,2014,6,19,,,1,15.0,2.0,1.0,1.0,5,2.0,15.0,18.0,30.0,1.0,2,1.0,0
Contra Costa County,2012,6,68,,2.0,2,65.0,,5.0,1.0,1,1.0,,21.0,430.0,15.0,2,1.0,0
Contra Costa County,2016,6,10,,,1,,,,2.0,5,3.0,7.0,7.0,,,2,,1
Contra Costa County,2014,6,65,,2.0,1,,,,2.0,2,1.0,,19.0,150.0,2.0,2,6.0,0
